ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
ERIC L KNOWLTON SCHOOL,Maine,5th Grade,8th Grade,332,111,156,176,MAINE,16.40
ETNA-DIXMONT SCHOOL,Maine,Prekindergarten,8th Grade,283,147,143,140,MAINE,12.00
EVA HOYT ZIPPEL SCHOOL,Maine,Kindergarten,5th Grade,329,171,166,163,MAINE,13.90
EXETER CONSOLIDATED SCHOOL,Maine,3rd Grade,5th Grade,66,37,35,31,MAINE,13.20
FAIRFIELD PRIMARY SCHOOL,Maine,Prekindergarten,Kindergarten,168,82,79,89,MAINE,24.00
FAIRMOUNT SCHOOL,Maine,4th Grade,5th Grade,273,173,132,141,MAINE,11.90
FAIRVIEW SCHOOL,Maine,Prekindergarten,6th Grade,537,142,271,266,MAINE,14.20
FALMOUTH HIGH SCHOOL,Maine,9th Grade,12th Grade,675,16,322,353,MAINE,11.70
FALMOUTH MIDDLE SCHOOL,Maine,5th Grade,8th Grade,742,32,372,370,MAINE,12.40
FARRINGTON SCHOOL,Maine,Kindergarten,6th Grade,378,236,177,201,MAINE,11.00
FARWELL ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,434,280,203,231,MAINE,17.50
FAYETTE CENTRAL SCHOOL,Maine,Prekindergarten,5th Grade,65,23,39,26,MAINE,10.50
FISHER-MITCHELL SCHOOL,Maine,3rd Grade,5th Grade,253,132,129,124,MAINE,13.00
FOREST HILLS CONSOLIDATED SCHOOL,Maine,Kindergarten,12th Grade,180,72,94,86,MAINE,9.80
FORT FAIRFIELD ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,267,162,121,146,MAINE,12.70
FORT FAIRFIELD MIDDLE/HIGH SCHOOL,Maine,6th Grade,12th Grade,289,152,140,149,MAINE,10.10
FORT KENT COMMUNITY HIGH SCHOOL,Maine,9th Grade,12th Grade,348,120,182,166,MAINE,13.40
FORT KENT ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,468,189,200,268,MAINE,11.90
FORT O'BRIEN SCHOOL,Maine,Prekindergarten,8th Grade,41,31,26,15,MAINE,5.70
FORT STREET SCHOOL,Maine,Prekindergarten,6th Grade,215,105,97,118,MAINE,14.00
FOSTER REGIONAL APPLIED TECH CTR,Maine,9th Grade,12th Grade,="0",†,="0",="0",MAINE,†
FOURTEENTH STREET SCHOOL,Maine,Prekindergarten,3rd Grade,151,43,70,81,MAINE,13.20
FRANK H HARRISON MIDDLE SCHOOL,Maine,5th Grade,8th Grade,443,22,209,234,MAINE,11.60
FRANK I BROWN ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,259,70,111,148,MAINE,12.60
FRANK JEWETT SCHOOL,Maine,2nd Grade,5th Grade,249,81,119,130,MAINE,13.20
FRANKFORT ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,99,61,53,46,MAINE,11.10
FRED P HALL SCHOOL,Maine,Kindergarten,5th Grade,452,143,221,231,MAINE,12.20
FRED W MORRILL SCHOOL,Maine,Kindergarten,4th Grade,53,26,23,30,MAINE,12.60
FREEPORT HIGH SCHOOL,Maine,9th Grade,12th Grade,423,66,215,208,MAINE,11.00
FREEPORT MIDDLE SCHOOL,Maine,6th Grade,8th Grade,258,58,120,138,MAINE,9.20
FRENCHBORO ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,12,3,3,9,MAINE,6.00
FRIENDSHIP VILLAGE SCHOOL,Maine,Kindergarten,6th Grade,94,36,44,50,MAINE,10.60
FRISBEE ELEMENTARY SCHOOL,Maine,3rd Grade,5th Grade,218,59,115,103,MAINE,145.30
FRUIT STREET SCHOOL,Maine,Prekindergarten,3rd Grade,318,95,167,151,MAINE,14.40
G HERBERT JEWETT SCHOOL,Maine,Kindergarten,6th Grade,83,27,46,37,MAINE,13.80
GARDINER AREA HIGH SCHOOL,Maine,9th Grade,12th Grade,732,211,350,382,MAINE,13.60
GARDINER REGIONAL MIDDLE SCHOOL,Maine,6th Grade,8th Grade,501,199,247,254,MAINE,12.70
